idx,image_index,image_filename,question,answer,difficulty,split,image_path
13378,13572,CLEVR_train_013572.png,how many cylinders are in the image,2,human,train,images/CLEVR_train_013572.png
838,822,CLEVR_train_000822.png,Are all the balls the same size?,no,human,train,images/CLEVR_train_000822.png
16550,10367,CLEVR_train_010367.png,Are any of the cylinders red and shiny?,yes,human,train,images/CLEVR_train_010367.png
12576,12232,CLEVR_train_012232.png,What is the shape of the only large item?,cube,human,train,images/CLEVR_train_012232.png
3701,4649,CLEVR_train_004649.png,Are the two large cylinders both shiny?,yes,human,train,images/CLEVR_train_004649.png
7509,5637,CLEVR_train_005637.png,Is the cube in the back shiny green?,no,human,train,images/CLEVR_train_005637.png
15853,14875,CLEVR_train_014875.png,"the largest cube and sphere are the same material, true or false?",yes,human,train,images/CLEVR_train_014875.png
14687,13243,CLEVR_train_013243.png,What material is mostly shown?,rubber,human,train,images/CLEVR_train_013243.png
7870,5919,CLEVR_train_005919.png,How many gold objects are there?,1,human,train,images/CLEVR_train_005919.png
10117,11622,CLEVR_train_011622.png,Are the two cubes the same color as the cylinder?,no,human,train,images/CLEVR_train_011622.png
7661,5922,CLEVR_train_005922.png,There is a green sphere; is it the same size as the metal object?,no,human,train,images/CLEVR_train_005922.png
12173,17464,CLEVR_train_017464.png,Are the two balls the same color?,no,human,train,images/CLEVR_train_017464.png
17254,14001,CLEVR_train_014001.png,What shape is the object that cannot be fully seen?,cube,human,train,images/CLEVR_train_014001.png
7506,5163,CLEVR_train_005163.png,"How many things are spheres, but not red?",2,human,train,images/CLEVR_train_005163.png
12253,17232,CLEVR_train_017232.png,how many objects are round? ,3,human,train,images/CLEVR_train_017232.png
8898,6732,CLEVR_train_006732.png,Are both of the large spheres the same material?,yes,human,train,images/CLEVR_train_006732.png
15924,10064,CLEVR_train_010064.png,is the reflection on the small blue sphere visible?,no,human,train,images/CLEVR_train_010064.png
8607,7311,CLEVR_train_007311.png,How many spheres are there?,5,human,train,images/CLEVR_train_007311.png
6919,8441,CLEVR_train_008441.png,Are the green spheres metallic?,yes,human,train,images/CLEVR_train_008441.png
7822,9572,CLEVR_train_009572.png,How many purple objects are there?,3,human,train,images/CLEVR_train_009572.png
15378,10386,CLEVR_train_010386.png,How many purple objects are there?,1,human,train,images/CLEVR_train_010386.png
12958,13475,CLEVR_train_013475.png,How many objects are either purple or shiny?,4,human,train,images/CLEVR_train_013475.png
7006,8475,CLEVR_train_008475.png,What color is the largest shiny object?,cyan,human,train,images/CLEVR_train_008475.png
15779,19888,CLEVR_train_019888.png,How many cubes are red?,0,human,train,images/CLEVR_train_019888.png
17195,19096,CLEVR_train_019096.png,Are any of the yellow objects square?,yes,human,train,images/CLEVR_train_019096.png
17681,17762,CLEVR_train_017762.png,Are any of the objects red?,yes,human,train,images/CLEVR_train_017762.png
7841,6543,CLEVR_train_006543.png,how many are cylinders but neither gold or yellow?,1,human,train,images/CLEVR_train_006543.png
4104,398,CLEVR_train_000398.png,What color is the cube?,gray,human,train,images/CLEVR_train_000398.png
206,3603,CLEVR_train_003603.png,Are any of the cylinders metallic?,yes,human,train,images/CLEVR_train_003603.png
6258,9486,CLEVR_train_009486.png,Are there any metallic objects?,no,human,train,images/CLEVR_train_009486.png
6034,5524,CLEVR_train_005524.png,is there a small cube the same color as a large cube?,no,human,train,images/CLEVR_train_005524.png
15620,12085,CLEVR_train_012085.png,What object is closest to the shiny ball?,cube,human,train,images/CLEVR_train_012085.png
13460,16303,CLEVR_train_016303.png,Is there two objects of the same color in this picture?,yes,human,train,images/CLEVR_train_016303.png
3630,882,CLEVR_train_000882.png,What shape is the object behind the purple ball?,cube,human,train,images/CLEVR_train_000882.png
9457,11261,CLEVR_train_011261.png,What shape is the small yellow object behind the silver ball?,cylinder,human,train,images/CLEVR_train_011261.png
6300,9456,CLEVR_train_009456.png,Are all the red objects shiny?,yes,human,train,images/CLEVR_train_009456.png
16361,12231,CLEVR_train_012231.png,What is the only color shared by more than one object?,cyan,human,train,images/CLEVR_train_012231.png
7995,6265,CLEVR_train_006265.png,Is there a purple cylinder?,yes,human,train,images/CLEVR_train_006265.png
6174,7992,CLEVR_train_007992.png,Are there more spheres than other shaped object?,no,human,train,images/CLEVR_train_007992.png
6749,6174,CLEVR_train_006174.png,Are there more shiny things or brown things in this photo?,metal,human,train,images/CLEVR_train_006174.png
3005,1828,CLEVR_train_001828.png,Is the blue cylinder the same shape as the one in front of it?,no,human,train,images/CLEVR_train_001828.png
16411,15354,CLEVR_train_015354.png,Are the two small objects on the left?,no,human,train,images/CLEVR_train_015354.png
9138,10941,CLEVR_train_010941.png,How many spheres are metallic?,2,human,train,images/CLEVR_train_010941.png
